Time,Temperature
1510230081.0000,38.5000
1510230113.0000,38.5000
1510230144.0000,38.2500
1510230175.0000,38.0000
1510230206.0000,37.5000
1510230238.0000,37.5000
1510230269.0000,37.5000
1510230300.0000,37.5000
1510230331.0000,37.5000
1510230362.0000,37.5000
1510230394.0000,37.5000
1510230425.0000,37.2500
1510230456.0000,37.2500
1510230487.0000,37.2500
1510230518.0000,37.2500
1510230550.0000,37.2500
1510230581.0000,37.0000
1510230622.0000,37.2500
1510230653.0000,37.0000
1510230684.0000,37.0000
1510230715.0000,37.0000
1510230747.0000,37.0000
1510230778.0000,36.7500
1510230809.0000,36.7500
1510230840.0000,36.7500
1510230872.0000,36.7500
1510230903.0000,36.7500
1510230934.0000,36.7500
1510230965.0000,36.5000
1510230997.0000,36.5000
1510231028.0000,36.2500
1510231059.0000,36.2500
1510231090.0000,36.0000
1510231134.0000,36.0000
1510231165.0000,36.0000
1510231196.0000,36.0000
1510231227.0000,35.7500
1510231259.0000,35.7500
1510231290.0000,35.5000
1510231321.0000,35.5000
1510231352.0000,35.2500
1510231383.0000,35.2500
1510231415.0000,35.0000
1510231446.0000,35.0000
1510231477.0000,35.0000
1510231508.0000,34.7500
1510231540.0000,34.7500
1510231571.0000,34.7500
1510231602.0000,34.5000
1510231646.0000,34.5000
1510231677.0000,34.5000
1510231708.0000,34.5000
1510231740.0000,34.2500
1510231771.0000,34.2500
1510231802.0000,34.0000
1510231833.0000,34.2500
1510231864.0000,34.0000
1510231896.0000,34.0000
1510231927.0000,33.7500
1510231958.0000,33.7500
1510231989.0000,33.7500
1510232021.0000,33.7500
1510232052.0000,33.5000
1510232083.0000,33.5000
1510232114.0000,33.5000
1510232158.0000,33.5000
1510232189.0000,33.2500
1510232220.0000,33.2500
1510232251.0000,32.7500
1510232283.0000,33.2500
1510232314.0000,32.7500
1510232345.0000,32.7500
1510232376.0000,32.7500
1510232407.0000,32.7500
1510232439.0000,32.5000
1510232470.0000,32.5000
1510232501.0000,32.5000
1510232533.0000,32.5000
1510232564.0000,32.2500
1510232595.0000,32.2500
1510232626.0000,32.2500
1510232670.0000,32.2500
1510232701.0000,32.0000
1510232732.0000,32.2500
1510232763.0000,32.0000
1510232795.0000,32.0000
1510232826.0000,32.0000
1510232857.0000,32.0000
1510232888.0000,31.7500
1510232919.0000,31.7500
1510232951.0000,31.5000
1510232982.0000,31.5000
1510233013.0000,31.5000
1510233044.0000,31.5000
1510233076.0000,31.5000
1510233107.0000,31.5000
1510233138.0000,31.5000
1510233182.0000,31.5000
1510233213.0000,31.2500
1510233244.0000,31.2500
1510233275.0000,31.2500
1510233307.0000,31.2500
1510233338.0000,31.0000
1510233369.0000,31.2500
1510233400.0000,31.0000
1510233432.0000,31.0000
1510233463.0000,31.0000
1510233494.0000,30.7500
1510233525.0000,30.5000
1510233557.0000,30.7500
1510233588.0000,30.5000
1510233619.0000,30.5000
1510233650.0000,30.2500
1510233694.0000,30.5000
1510233725.0000,30.2500
1510233756.0000,30.2500
1510233787.0000,30.2500
1510233819.0000,30.2500
1510233850.0000,30.2500
1510233881.0000,30.2500
1510233912.0000,30.2500
1510233943.0000,30.2500
1510233975.0000,30.0000
1510234006.0000,30.0000
1510234037.0000,30.0000
1510234068.0000,30.0000
1510234100.0000,30.0000
1510234131.0000,30.0000
1510234162.0000,30.0000
1510234206.0000,30.0000
