Time,PM2_5,PM10,sharpPM,dhtTemp,dhtHum,specCO,figaroCO,figaroCO2,SUMTemp,SUMBinary
1510296116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.75,0
1510296147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.75,0
1510296179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.75,0
1510296210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510296241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.75,0
1510296272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510296303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.75,0
1510296335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510296366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.75,0
1510296397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.75,0
1510296428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.75,0
1510296459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510296491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.25,0
1510296522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.25,0
1510296553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.25,0
1510296584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.5,0
1510296615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.75,0
1510296657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510296688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510296719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510296750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510296782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510296813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510296844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510296875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510296906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510296937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510296969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297930,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510297961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510297993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510298024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510298055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510298086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,0
1510298117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510298149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
1510298193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.25,0
